period,model,exceptions,alpha_hat,UC p-value,CC p-value,DQ p-value,GPL score
Period I,GARCH,6,0.0238,0.9029,0.8569,0.5758,0.1022
Period I,EGARCH,6,0.0238,0.9029,0.8569,0.3271,0.103
Period I,GJR-GARCH,5,0.0198,0.5866,0.7792,0.4326,0.1034
Period I,Historical Simulation,11,0.0437,0.0858,0.138,0.0,0.1286
Period I,Original GARCHNet,23,0.0913,0.0,0.0,0.0,0.1559
Period I,GARCHNet++,20,0.0794,0.0,0.0,0.0,0.1619
Period II,GARCHNet++,7,0.0278,0.7813,0.7871,0.0,0.093
Period II,Original GARCHNet,10,0.0397,0.1684,0.2558,0.0014,0.1023
Period II,Historical Simulation,4,0.0159,0.3204,0.5721,0.0,0.1177
Period II,EGARCH,10,0.0397,0.1684,0.2558,0.0,0.1215
Period II,GARCH,11,0.0437,0.0858,0.138,0.0,0.1221
Period II,GJR-GARCH,11,0.0437,0.0858,0.138,0.0,0.1245
Period III,GJR-GARCH,4,0.0159,0.3204,0.5721,0.9784,0.0343
Period III,GARCH,4,0.0159,0.3204,0.5721,0.8957,0.0344
Period III,EGARCH,6,0.0238,0.9029,0.8569,0.4576,0.035
Period III,GARCHNet++,3,0.0119,0.1387,0.3222,0.9318,0.0377
Period III,Original GARCHNet,3,0.0119,0.1387,0.3222,0.9328,0.0387
Period III,Historical Simulation,1,0.004,0.008,0.0296,0.5926,0.0443
Period IV,Historical Simulation,20,0.0794,0.0,0.0,0.0,0.2534
Period IV,GARCHNet++,27,0.1071,0.0,0.0,0.0,0.2825
Period IV,EGARCH,19,0.0754,0.0,0.0,0.0,0.292
Period IV,GARCH,19,0.0754,0.0,0.0,0.0,0.302
Period IV,GJR-GARCH,21,0.0833,0.0,0.0,0.0,0.3035
Period IV,Original GARCHNet,33,0.131,0.0,0.0,0.0,0.3174
